log(rupture_time(h)) Temperature(C) Cr Ni Mo Mn Si Nb Ti V Cu N C B P S Co Al Stab_ratio Predicted Error
4.0 650 15.5 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.670731 10.988493
4.0 650 15.75 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.656700 9.662757
4.0 650 16.0 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.638298 8.404075
4.0 650 16.25 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.614197 7.243999
4.0 650 16.5 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.582207 6.247396
4.0 650 16.75 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.541885 5.524268
4.0 650 17.0 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.491043 5.224936
4.0 650 17.25 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.428810 5.465540
4.0 650 17.5 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.352989 6.231619
4.0 650 17.75 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.262711 7.409662
4.0 650 18.0 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.155777 8.883093
4.0 650 18.25 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 123.031311 10.572584
4.0 650 18.5 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 122.887558 12.432121
4.0 650 18.75 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 122.723213 14.434971
4.0 650 19.0 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 122.536514 16.565790
4.0 650 19.25 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 122.325714 18.815817
4.0 650 19.5 11.5 2.5 1.4 0.6 0 0 0 0 0.01 0.05 0.0005 0.02 0.01 0 0 0 122.089928 21.180231
